filename,distance_km,elevation_gain,elevation_loss,max_elevation,min_elevation,max_slope,mean_slope,pct_over_30,pct_over_40,pct_over_45,mean_aspect,rugosity_mean,exposed_pct,difficulty
Aran Pirineos. Camino de Santiago,244.86,17759.0,17751.0,2465.0,328.0,87.2,6.17,0.08,0.06,0.04,199.7,8.44,0.0,alta montaña
Ars-Refugi Ras de Conques,4.48,687.0,347.0,1863.0,1396.0,71.11,11.25,0.12,0.07,0.06,284.71,14.01,0.0,difícil
Autour de Saint-Lizier,4.92,313.0,313.0,511.0,412.0,83.11,5.48,0.07,0.05,0.03,73.91,7.49,0.0,difícil
Balade au fil de l'Arize,0.93,78.0,57.0,239.0,195.0,80.38,7.38,0.12,0.08,0.06,190.83,10.28,0.0,difícil
Balade au fil de lâ€™eau,10.04,182.0,185.0,220.0,192.0,36.77,2.28,0.01,0.0,0.0,219.18,3.09,0.0,sendero fácil
Balade d'altitude Beille-Piparlan,4.14,269.0,264.0,1884.0,1714.0,80.8,5.81,0.07,0.04,0.03,97.98,8.15,0.0,difícil
Balade des abris,2.33,37.0,58.0,214.0,192.0,50.37,2.74,0.02,0.01,0.01,115.08,3.73,0.0,sendero fácil
Balade des coteaux,5.0,214.0,306.0,314.0,195.0,76.19,4.68,0.05,0.04,0.04,303.94,6.76,0.0,moderado
Balade du Pech de Montgailhard,7.17,713.0,695.0,881.0,455.0,79.53,7.11,0.1,0.06,0.05,329.52,9.74,0.0,difícil
Balade du Saint-Sauveur de Foix,1.67,60.0,264.0,596.0,383.0,78.61,5.4,0.08,0.06,0.05,136.22,7.61,0.0,difícil
Ballade de la chapelle Saint-Barthelemy,4.42,547.0,463.0,1255.0,875.0,64.74,10.91,0.16,0.08,0.06,351.57,13.48,0.0,difícil
Bassa d'Oles,1.76,134.0,134.0,1686.0,1601.0,59.42,7.83,0.09,0.06,0.06,357.42,10.02,0.0,moderado
Benasque â€“ Cerler,4.95,631.0,257.0,1529.0,1131.0,77.35,7.59,0.13,0.08,0.08,128.85,10.1,0.0,difícil
Benasque â€“ Ermita de San JosÃ© â€“ Eriste,3.21,180.0,238.0,1151.0,1081.0,78.33,7.82,0.12,0.08,0.06,230.16,10.96,0.0,difícil
Betesa - Santorens - Pallerol - Betesa,10.51,698.0,796.0,1153.0,884.0,63.73,7.47,0.09,0.05,0.04,205.3,10.15,0.0,moderado
Bois du Chapitre,5.11,261.0,173.0,343.0,218.0,64.82,5.41,0.02,0.02,0.02,91.77,7.11,0.0,moderado
Borda de Mateu,18.44,1938.0,1938.0,1394.0,668.0,84.68,6.77,0.1,0.08,0.07,289.17,9.5,0.0,difícil
Bordes de BossÃ²st,10.58,1450.0,1463.0,1183.0,689.0,83.3,7.79,0.11,0.1,0.09,246.18,10.71,0.0,alta montaña
Bordes de Cardedo,6.11,815.0,846.0,1603.0,1244.0,77.85,8.27,0.14,0.1,0.08,9.78,10.96,0.0,difícil
BorÃ©n-Ã€rreu,3.38,419.0,419.0,1368.0,1106.0,79.92,8.01,0.13,0.09,0.08,326.24,10.91,0.0,difícil
Bosquet de PuigcerdÃ  llac de Torniquet,5.68,117.0,98.0,1234.0,1180.0,41.62,2.07,0.01,0.01,0.0,245.9,2.6,0.0,sendero fácil
Boucle dans la vallÃ©e du Larboust et la VallÃ©e d'Oueil,17.01,1348.0,1592.0,1389.0,932.0,81.25,8.05,0.11,0.07,0.06,107.41,10.76,0.0,alta montaña
Boucle de Bals,1.22,203.0,175.0,1119.0,973.0,79.43,10.52,0.18,0.14,0.12,95.35,15.88,0.0,alta montaña
Boucle de la chapelle de l'isard,23.89,2221.0,2758.0,1886.0,837.0,87.19,8.44,0.12,0.09,0.09,157.59,11.78,0.0,alpinismo ligero
Boucle de la Chapelle,3.85,492.0,504.0,1146.0,930.0,81.94,10.94,0.17,0.14,0.13,323.09,15.33,0.0,alpinismo ligero
Boucle de Saint-Hilaire,7.24,317.0,317.0,284.0,150.0,65.98,4.37,0.04,0.02,0.02,162.51,5.88,0.0,moderado
Boucle des etangs du Carlit (variante 9 lacs),7.88,302.0,384.0,2245.0,2039.0,72.87,3.99,0.04,0.02,0.01,332.88,5.35,0.0,difícil
Boucle des Fontaines,3.43,146.0,149.0,315.0,250.0,68.76,4.24,0.05,0.02,0.02,113.24,5.63,0.0,moderado
Boucle du Pic de la PÃ¨ne,1.93,343.0,343.0,895.0,741.0,80.58,10.89,0.17,0.12,0.11,173.15,13.84,0.0,alta montaña
BÃ©ixec - Estana - Pla de l'Ã€liga,10.63,968.0,968.0,1584.0,1283.0,77.48,7.38,0.1,0.08,0.06,27.11,10.08,0.0,difícil
Camin Reiau - Etapa 1,15.7,1091.0,806.0,1353.0,975.0,79.52,5.06,0.05,0.03,0.02,78.27,6.85,0.0,difícil
Camin Reiau - Etapa 2,12.57,1016.0,622.0,1881.0,1261.0,81.02,4.95,0.07,0.04,0.04,55.06,6.77,0.0,difícil
Camin Reiau - Etapa 3,16.51,1183.0,1684.0,1899.0,1152.0,84.51,6.08,0.09,0.07,0.05,239.36,8.42,0.0,difícil
Camin Reiau - Etapa 4,17.5,896.0,999.0,1259.0,953.0,79.52,5.64,0.05,0.04,0.02,318.53,7.66,0.0,difícil
Camin Reiau - Etapa 5,16.15,2001.0,1777.0,1317.0,863.0,83.5,7.87,0.11,0.08,0.08,257.96,10.92,0.0,alpinismo ligero
Camin Reiau - Etapa 6,12.52,1050.0,1679.0,1395.0,635.0,86.56,6.43,0.09,0.07,0.06,329.05,8.89,0.0,difícil
Camin Reiau - Etapa 7,22.46,2756.0,2670.0,1269.0,618.0,85.57,8.83,0.14,0.11,0.1,197.43,12.21,0.0,alpinismo ligero
Camin Reiau - Etapa 8,18.84,1756.0,1501.0,1151.0,715.0,84.96,6.76,0.09,0.07,0.05,140.58,9.43,0.0,difícil
Camin Reiau - Variant Canejan,26.78,3852.0,3845.0,1390.0,603.0,84.74,11.84,0.17,0.12,0.11,232.3,15.71,0.0,alpinismo ligero
Camino Benasque-Cerler,4.27,553.0,507.0,1510.0,1146.0,76.04,7.89,0.12,0.1,0.09,279.82,10.72,0.0,difícil
Camino de Ampriu al Pico Cerler,2.24,510.0,54.0,2383.0,1901.0,81.39,7.92,0.13,0.09,0.09,313.63,11.12,0.0,alta montaña
Camino de La Ball,3.05,177.0,75.0,1272.0,1148.0,48.5,3.94,0.04,0.03,0.02,44.77,5.26,0.0,sendero fácil
Camino de la CabaÃ±era,4.73,447.0,467.0,1540.0,1419.0,73.69,8.67,0.14,0.11,0.08,158.73,12.41,0.0,difícil
Camino de la Coma,9.74,1672.0,1052.0,1909.0,1251.0,79.74,8.71,0.13,0.11,0.1,323.47,12.19,0.0,alta montaña
Camino de la MontaÃ±a: Denuy - Bordas d'es Plans,7.34,1190.0,1311.0,1606.0,1298.0,75.2,14.97,0.23,0.16,0.14,199.0,20.17,0.0,alta montaña
Camino del Correo,11.52,1093.0,791.0,1506.0,919.0,70.22,8.39,0.1,0.07,0.05,338.03,11.35,0.0,difícil
Camino del Rigau,2.32,401.0,335.0,1305.0,1148.0,74.27,10.03,0.16,0.12,0.12,41.08,14.24,0.0,alta montaña
Camins miners i contrabandistes,4.55,675.0,1030.0,1019.0,616.0,84.74,14.39,0.23,0.18,0.16,270.12,19.11,0.0,alpinismo ligero
CampdevÃ nol-Ripoll pel camÃ­ ral,10.06,508.0,508.0,809.0,688.0,82.47,4.61,0.05,0.04,0.04,246.19,6.42,0.0,difícil
Camprodon ruta per la carena de Serra Cavallera,20.76,1873.0,1861.0,1885.0,949.0,79.45,7.95,0.11,0.08,0.06,311.17,10.58,0.0,difícil
CamÃ­ de Boscalt,3.96,269.0,163.0,1478.0,1344.0,58.5,5.85,0.06,0.03,0.03,171.01,7.86,0.0,moderado
CamÃ­ de la Freita,8.24,677.0,665.0,1186.0,647.0,68.33,6.82,0.1,0.05,0.04,154.57,8.72,0.0,moderado
CamÃ­ de l'Aigua,28.35,1949.0,2570.0,1502.0,824.0,84.91,5.31,0.07,0.06,0.06,193.6,7.42,0.0,difícil
CamÃ­ de les Veus del Pamano,6.28,690.0,911.0,1525.0,1194.0,82.85,6.43,0.1,0.09,0.08,163.2,9.07,0.0,alta montaña
CamÃ­ de l'Ossa,31.92,3976.0,3609.0,2841.0,1251.0,83.52,8.09,0.12,0.09,0.08,64.61,11.15,0.0,alpinismo ligero
CamÃ­ de l'Ãšltim CÃ tar,223.11,20492.0,20811.0,2529.0,473.0,88.4,7.09,0.1,0.08,0.07,357.94,9.73,0.0,alta montaña
CamÃ­ de Picasso,58.26,5599.0,5306.0,2418.0,733.0,84.88,6.57,0.09,0.07,0.06,306.13,9.04,0.0,alta montaña
CamÃ­ de Rus,18.94,2588.0,2036.0,2608.0,1440.0,87.82,5.08,0.07,0.07,0.07,107.96,7.22,0.0,alta montaña
CamÃ­ del Llobregat,187.42,9519.0,10900.0,1381.0,-6.0,81.52,5.18,0.07,0.04,0.04,182.28,7.14,0.0,alta montaña
CamÃ­ del sol,31.23,3634.0,3634.0,2629.0,1248.0,83.41,9.14,0.13,0.09,0.08,235.51,12.22,0.0,alpinismo ligero
CamÃ­ dels bons homes - Catalunya,100.53,10809.0,9780.0,2501.0,809.0,86.44,7.58,0.11,0.08,0.07,341.37,10.43,0.0,alpinismo ligero
CamÃ­ dels bons homes - FranÃ§a,88.02,7788.0,8599.0,2517.0,822.0,85.23,8.46,0.12,0.08,0.07,345.49,11.59,0.0,alpinismo ligero
CamÃ­ Natural de les Mines de la Ribera de l'Urgellet,17.6,1242.0,1242.0,1200.0,627.0,81.68,6.55,0.09,0.07,0.06,74.1,9.12,0.0,difícil
CamÃ­ Natural de Sort i la Vall d'Ã€ssua,21.45,3356.0,1915.0,2143.0,700.0,86.65,5.88,0.09,0.07,0.07,335.83,8.22,0.0,alta montaña
CamÃ­ Natural del Port de Vielha,18.43,2279.0,1678.0,2465.0,1016.0,87.2,6.34,0.09,0.08,0.07,172.46,8.65,0.0,alta montaña
CamÃ­ Oliba. Variant Rajols - Sant Joan de les Abadesses,51.84,5299.0,5598.0,1529.0,770.0,85.09,6.37,0.1,0.08,0.07,331.54,8.78,0.0,alta montaña
CamÃ­ Oliba,244.36,17166.0,16329.0,1627.0,165.0,86.09,5.63,0.07,0.05,0.04,19.41,7.76,0.0,alta montaña
CamÃ­ Ramader de Marina,860.87,24118.0,24144.0,1926.0,0.0,84.54,4.95,0.06,0.04,0.03,5.75,6.77,0.0,difícil
CamÃ­ Vell de Montsor,14.21,1692.0,1692.0,1242.0,533.0,87.19,4.27,0.06,0.06,0.05,203.03,6.02,0.0,difícil
Carros de Foc Plus,24.06,2728.0,2153.0,2742.0,1631.0,87.09,6.68,0.09,0.08,0.07,273.43,8.94,0.0,alta montaña
Carros de Foc,54.24,6453.0,6537.0,2741.0,1889.0,87.54,6.45,0.1,0.07,0.07,112.55,8.8,0.0,alta montaña
Cascade d'Ars,12.06,1871.0,1171.0,1874.0,770.0,84.67,7.81,0.12,0.1,0.09,75.79,10.97,0.0,alta montaña
Cascade de Planque,3.77,656.0,653.0,771.0,497.0,67.87,14.71,0.22,0.13,0.12,300.54,18.32,0.0,difícil
CastejÃ³n de Sos - ArasÃ¡n - Liri - Sos - CastejÃ³n de Sos,10.09,720.0,720.0,1332.0,903.0,79.81,6.13,0.07,0.06,0.05,233.82,8.47,0.0,difícil
CastejÃ³n de Sos - Bisaurri - Urmella - ArasÃ¡n,8.99,899.0,574.0,1372.0,922.0,67.45,8.05,0.1,0.06,0.04,35.36,10.82,0.0,moderado
CastellbÃ²-Sendes-Solanell,18.34,2004.0,1549.0,1286.0,800.0,85.71,6.03,0.09,0.07,0.06,338.82,8.16,0.0,alta montaña
Cava Tossal de Bades Querforadat,7.01,819.0,797.0,1612.0,1299.0,81.75,9.69,0.17,0.11,0.07,275.77,13.45,0.0,difícil
Cavalls del Vent,75.66,10397.0,10397.0,2526.0,910.0,86.59,9.2,0.14,0.11,0.09,113.65,12.55,0.0,alpinismo ligero
Chemin de GÃ©nat,5.41,291.0,749.0,990.0,487.0,79.93,6.33,0.1,0.08,0.06,33.11,8.72,0.0,difícil
Chemin des Cascades,1.89,332.0,334.0,1605.0,1431.0,85.36,8.58,0.14,0.13,0.1,216.85,11.65,0.0,alta montaña
Chemin des crÃªtes,8.03,215.0,153.0,334.0,234.0,53.9,2.86,0.02,0.01,0.01,334.74,3.88,0.0,sendero fácil
Chemin du PiÃ©mont PyrÃ©nÃ©en,16.96,895.0,805.0,618.0,383.0,84.36,4.71,0.05,0.03,0.02,230.81,6.42,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,26.99,591.0,433.0,276.0,102.0,63.54,2.4,0.01,0.01,0.01,261.78,3.21,0.0,moderado
Chemin du PiÃ©mont PyrÃ©nÃ©en,42.28,2121.0,2122.0,539.0,281.0,77.97,4.81,0.05,0.03,0.02,254.07,6.52,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,30.8,1577.0,1428.0,527.0,290.0,81.34,4.83,0.05,0.03,0.03,239.71,6.52,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,27.27,1535.0,1625.0,967.0,440.0,85.43,5.7,0.06,0.03,0.03,284.42,7.28,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,15.33,1452.0,1719.0,1206.0,486.0,78.02,9.55,0.14,0.07,0.06,301.2,12.54,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,21.15,2062.0,1709.0,931.0,510.0,84.08,7.58,0.1,0.06,0.05,276.38,10.32,0.0,alta montaña
Chemin du PiÃ©mont PyrÃ©nÃ©en,24.72,805.0,827.0,450.0,300.0,55.51,3.92,0.03,0.01,0.01,225.67,5.12,0.0,sendero fácil
Chemin du PiÃ©mont PyrÃ©nÃ©en,14.62,456.0,381.0,339.0,176.0,64.39,2.98,0.01,0.01,0.01,257.77,3.91,0.0,moderado
Chemin du PiÃ©mont PyrÃ©nÃ©en,19.96,1148.0,1095.0,623.0,457.0,71.77,5.08,0.06,0.04,0.03,277.48,6.79,0.0,difícil
Chemin du PiÃ©mont PyrÃ©nÃ©en,33.9,1004.0,1022.0,435.0,257.0,69.92,3.25,0.03,0.01,0.01,279.83,4.38,0.0,moderado
Chemin du PiÃ©mont (variante),10.86,318.0,387.0,450.0,313.0,71.26,3.48,0.03,0.01,0.01,227.51,4.62,0.0,moderado
Chemin Vauban,92.17,7818.0,8389.0,1992.0,429.0,85.56,7.28,0.1,0.08,0.07,104.91,10.04,0.0,alta montaña
Circuit de la HÃ¨che,7.58,155.0,161.0,327.0,233.0,42.97,2.28,0.0,0.0,0.0,177.12,2.76,0.0,sendero fácil
Circuit des deux Fontaines de Sieuras,1.59,77.0,77.0,348.0,284.0,58.21,3.71,0.02,0.01,0.01,135.9,5.09,0.0,sendero fácil
Circuit du Bousquet,13.2,587.0,578.0,581.0,428.0,64.29,5.48,0.07,0.04,0.02,51.74,7.6,0.0,moderado
Circuit du Taus,13.77,1181.0,1258.0,1365.0,768.0,81.82,7.02,0.11,0.07,0.05,81.0,9.62,0.0,difícil
Circular Val d'Aran,92.49,10343.0,10271.0,2698.0,606.0,88.3,7.96,0.11,0.09,0.07,169.76,10.96,0.0,alpinismo ligero
Cirque de la GlÃ¨re,18.7,1867.0,1841.0,1617.0,1023.0,83.92,9.98,0.16,0.13,0.11,60.21,13.56,0.0,alta montaña
Col de Gamel via Col de Foujoul,6.19,1045.0,920.0,1430.0,973.0,79.52,10.52,0.16,0.14,0.13,58.26,14.48,0.0,alta montaña
Col de Lastris,2.87,561.0,37.0,1428.0,904.0,69.97,9.06,0.12,0.08,0.04,161.74,10.35,0.0,moderado
Coll de Bauma,5.24,735.0,735.0,1641.0,1387.0,79.04,10.51,0.17,0.13,0.12,272.93,14.63,0.0,alta montaña
"Coll de Serreres, Vilaller",7.84,1230.0,1019.0,1439.0,981.0,82.49,9.84,0.15,0.11,0.1,86.6,13.43,0.0,alta montaña
Coll de Setfons,3.86,829.0,73.0,2184.0,1428.0,79.29,10.0,0.17,0.12,0.09,46.82,13.36,0.0,alta montaña
Coll d'Eruga - Coll de CristiÃ ,7.05,834.0,805.0,1612.0,1292.0,81.75,9.9,0.17,0.11,0.07,86.25,13.63,0.0,difícil
Colls de Sant Roc. Adons,15.18,1731.0,1954.0,1500.0,905.0,86.36,5.74,0.08,0.07,0.07,31.68,8.0,0.0,difícil
Comabona des del Coll de Bauma per la Pleta de Guilla,11.23,1966.0,1966.0,2514.0,1631.0,86.65,6.63,0.1,0.08,0.08,335.6,9.31,0.0,alpinismo ligero
Congost de Collegats,9.32,1154.0,1248.0,807.0,553.0,87.37,4.34,0.06,0.05,0.05,214.34,5.94,0.0,difícil
Cornellana,8.2,1041.0,1041.0,1825.0,1231.0,79.73,7.94,0.11,0.07,0.07,335.59,10.94,0.0,difícil
Coves de la Fou Empedrats de Bor Mirador Cap de Ras,12.45,1190.0,1197.0,1729.0,1089.0,81.3,6.88,0.11,0.08,0.07,189.98,9.35,0.0,difícil
Cresta del Besiberri,2.32,376.0,232.0,2979.0,2767.0,83.01,5.07,0.07,0.07,0.06,190.58,7.34,0.0,alta montaña
Dans les estives et les vieux villages,20.24,2614.0,2415.0,1721.0,874.0,78.69,9.39,0.15,0.12,0.1,55.67,12.55,0.0,alta montaña
D'Aurignac Ã  Gourdan,69.57,2037.0,1993.0,525.0,261.0,65.89,3.69,0.03,0.02,0.01,235.81,4.81,0.0,moderado
De Gourdan Ã  Saint-PÃ©-d'Ardet,37.6,1482.0,1303.0,650.0,415.0,85.43,3.77,0.03,0.01,0.01,131.27,4.98,0.0,difícil
De la CathÃ©drale au chemin de la Coque et du Vila,10.96,386.0,377.0,307.0,212.0,69.36,4.93,0.06,0.02,0.02,285.13,6.55,0.0,moderado
De la cathÃ©drale au Village Gaulois,28.12,389.0,393.0,265.0,213.0,77.87,3.96,0.05,0.04,0.03,224.2,5.44,0.0,moderado
"De la Manche aux PyrÃ©nÃ©es 24, Sournia - Bourg-Madame",130.31,14924.0,14322.0,2427.0,238.0,87.05,7.97,0.12,0.09,0.08,227.53,11.0,0.0,alpinismo ligero
De Marc Ã  l'Artigue,6.56,866.0,771.0,1323.0,1041.0,86.65,11.78,0.19,0.15,0.12,237.5,16.14,0.0,alpinismo ligero
De Saint-PÃ©-d'Ardet Ã  BagnÃ¨res-de-Luchon,47.2,5027.0,5009.0,1214.0,502.0,82.87,8.53,0.12,0.09,0.08,187.38,11.55,0.0,alpinismo ligero
De Sainte-Foy Ã  Aurignac,73.89,2146.0,2020.0,447.0,234.0,68.35,3.47,0.02,0.0,0.0,218.85,4.5,0.0,moderado
De Setcases a Vilallonga de Ter,14.37,2060.0,2282.0,1633.0,1061.0,83.48,9.33,0.13,0.11,0.11,156.28,12.86,0.0,alpinismo ligero
Del Pont de Bar Nou als Arenys,7.26,676.0,617.0,942.0,840.0,65.14,10.95,0.16,0.09,0.06,115.37,14.27,0.01,difícil
"Des Vosges aux PyrÃ©nÃ©es 11, Revel - Mirepoix",64.33,1560.0,1878.0,624.0,129.0,69.47,3.29,0.02,0.01,0.01,201.37,4.26,0.0,moderado
"Des Vosges aux PyrÃ©nÃ©es 12, Mirepoix - Camon",17.4,559.0,500.0,425.0,303.0,42.85,3.63,0.03,0.01,0.0,137.03,4.82,0.0,sendero fácil
"Des Vosges aux PyrÃ©nÃ©es 13, vers le Col de Tougnets",79.63,6638.0,4753.0,2248.0,363.0,85.04,7.01,0.09,0.06,0.05,183.91,9.46,0.0,alta montaña
"Des Vosges aux PyrÃ©nÃ©es 14, Porte de Barboilliere - Portella Blanca d'Andorra",41.67,5415.0,5162.0,2517.0,1313.0,88.31,7.29,0.11,0.09,0.07,228.87,10.12,0.0,alpinismo ligero
"Des Vosges aux PyrÃ©nÃ©es, variante",77.52,7145.0,5348.0,2181.0,351.0,88.39,6.64,0.08,0.06,0.05,174.21,9.1,0.0,alta montaña
D'Estamariu a Bescaran,8.79,1498.0,1498.0,1412.0,1018.0,83.92,9.91,0.16,0.12,0.11,68.06,13.94,0.0,alta montaña
D'Illier Ã  LapÃ¨ge,3.48,567.0,468.0,1048.0,921.0,69.61,11.73,0.16,0.13,0.09,59.58,15.66,0.0,difícil
E01,11.6,1056.0,1224.0,889.0,689.0,79.68,9.64,0.12,0.08,0.06,183.96,13.46,0.0,difícil
E02,15.41,1668.0,973.0,1457.0,668.0,72.0,7.92,0.11,0.06,0.05,171.97,10.63,0.0,difícil
E03,9.4,809.0,1067.0,1429.0,1005.0,83.07,7.54,0.11,0.08,0.06,115.27,10.36,0.0,difícil
E04,15.49,1154.0,1359.0,1684.0,855.0,77.17,6.94,0.1,0.06,0.04,171.2,9.51,0.0,difícil
El CamÃ­ IT1TR3 El CamÃ­ CapÃ§aler: de Salzes a Balaguer,82.96,5467.0,4421.0,1353.0,275.0,86.19,5.06,0.06,0.04,0.04,300.1,6.92,0.0,alta montaña
El CamÃ­ IT1TR4 El CamÃ­ CapÃ§aler: de Salzes a Balaguer,197.67,15262.0,15072.0,1814.0,528.0,86.46,6.33,0.09,0.07,0.06,343.65,8.7,0.0,alta montaña
El CamÃ­ IT1TR5 El CamÃ­ CapÃ§aler: de Salzes a Balaguer,156.41,17460.0,18274.0,2574.0,679.0,87.17,6.94,0.1,0.08,0.07,233.23,9.59,0.0,alta montaña
El CamÃ­ IT1TR6 El CamÃ­ CapÃ§aler: de Salzes a Balaguer,221.74,20418.0,20387.0,1814.0,589.0,87.86,6.73,0.09,0.07,0.06,258.63,9.21,0.0,alta montaña
El Carrilet d'Estany Gento,7.54,973.0,966.0,2194.0,2078.0,85.07,7.9,0.12,0.1,0.09,159.5,10.97,0.0,alta montaña
El CinquÃ¨ Llac. Etapa 1 : La Pobla de Segur => Peramea,19.11,2013.0,1654.0,1236.0,533.0,87.19,5.14,0.07,0.06,0.05,33.16,7.18,0.0,alta montaña
El CinquÃ¨ Llac. Etapa 2 : Peramea => Beranui,13.48,1613.0,1501.0,1533.0,820.0,81.73,8.82,0.13,0.09,0.08,302.5,11.86,0.0,alta montaña
El CinquÃ¨ Llac. Etapa 3 : Beranui => Les EsglÃ©sies,21.48,2128.0,2103.0,1280.0,880.0,82.19,7.45,0.11,0.08,0.06,279.71,10.17,0.0,alta montaña
El CinquÃ¨ Llac. Etapa 4 : Les EsglÃ©sies => Senterada,23.66,1931.0,2258.0,1558.0,734.0,82.74,7.25,0.1,0.07,0.06,132.03,9.69,0.0,difícil
El CinquÃ¨ Llac. Etapa 5 : Senterada => La Pobla de Segur,22.09,2052.0,2251.0,1333.0,542.0,86.7,4.94,0.07,0.06,0.05,187.9,6.89,0.0,difícil
el Gran Bucle,144.49,14935.0,15114.0,2603.0,606.0,88.3,7.33,0.1,0.08,0.06,164.84,9.97,0.0,alta montaña
El pas del temps: Isil-La Pobla de Segur,10.87,865.0,1081.0,1368.0,955.0,81.03,7.47,0.12,0.08,0.06,151.44,10.39,0.0,difícil
Els 7 llacs de ColomÃ¨rs,5.61,600.0,467.0,2239.0,1967.0,83.53,5.89,0.09,0.07,0.06,156.36,7.95,0.0,difícil
Els Barons d'Erill,12.93,1580.0,1552.0,1516.0,1081.0,85.86,6.28,0.1,0.07,0.06,82.6,8.58,0.0,difícil
Els Carantos de Vilaller,4.0,480.0,480.0,1249.0,969.0,81.04,8.19,0.13,0.11,0.09,8.16,11.4,0.0,alta montaña
Els estanys de Manyanet,10.33,2024.0,1290.0,2448.0,1483.0,84.72,7.15,0.1,0.09,0.09,20.38,10.06,0.0,alpinismo ligero
Encantats,98.05,9608.0,9587.0,2603.0,968.0,87.2,6.78,0.09,0.07,0.06,222.41,9.24,0.0,alta montaña
